id,utcDate,status,stage,group,lastUpdated,referees,competition.name,season.currentMatchday,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away
537380,2026-07-07T00:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537381,2026-07-07T16:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537382,2026-07-07T20:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537383,2026-07-09T20:00:00Z,TIMED,QUARTER_FINALS,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537384,2026-07-10T19:00:00Z,TIMED,QUARTER_FINALS,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537385,2026-07-11T21:00:00Z,TIMED,QUARTER_FINALS,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537386,2026-07-12T01:00:00Z,TIMED,QUARTER_FINALS,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537387,2026-07-14T19:00:00Z,TIMED,SEMI_FINALS,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537388,2026-07-15T19:00:00Z,TIMED,SEMI_FINALS,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537389,2026-07-18T21:00:00Z,TIMED,THIRD_PLACE,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537390,2026-07-19T19:00:00Z,TIMED,FINAL,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
