awayTeam.id,awayTeam.name,awayTeam.tla,group,homeTeam.id,homeTeam.name,homeTeam.tla,referees,score.duration,score.extraTime.away,score.extraTime.home,score.fullTime.away,score.fullTime.home,score.halfTime.away,score.halfTime.home,score.penalties.away,score.penalties.home,score.regularTime.away,score.regularTime.home,score.winner,stage,status,utcDate
8872,Norway,NOR,,764,Brazil,BRA,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-05T20:00:00Z
770,England,ENG,,769,Mexico,MEX,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-06T00:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-06T19:00:00Z
805,Belgium,BEL,,771,United States,USA,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-07T00:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-07T16:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-07T20:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,QUARTER_FINALS,TIMED,2026-07-09T20:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,QUARTER_FINALS,TIMED,2026-07-10T19:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,QUARTER_FINALS,TIMED,2026-07-11T21:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,QUARTER_FINALS,TIMED,2026-07-12T01:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,SEMI_FINALS,TIMED,2026-07-14T19:00:00Z
,,,,,,,[],REGULAR,,,,,,,,,,,,SEMI_FINALS,TIMED,2026-07-15T19:00:00Z
